,0,1
0,"[[67.0, 51.0], [327.0, 46.0], [327.0, 74.0], [68.0, 80.0]]","('PHOCAPITAL', 0.9944714307785034)"
1,"[[72.0, 92.0], [453.0, 84.0], [454.0, 114.0], [73.0, 122.0]]","('107 State Street', 0.9744492173194885)"
2,"[[69.0, 135.0], [501.0, 125.0], [501.0, 156.0], [70.0, 165.0]]","('Montpelier Vermont', 0.9357035160064697)"
3,"[[71.0, 176.0], [364.0, 171.0], [364.0, 201.0], [72.0, 206.0]]","('802 225 6183', 0.9168100357055664)"
4,"[[74.0, 302.0], [150.0, 299.0], [151.0, 333.0], [75.0, 336.0]]","('REG', 0.9945926666259766)"
5,"[[198.0, 300.0], [651.0, 285.0], [652.0, 315.0], [199.0, 330.0]]","('07-24-2017 06:59 PM', 0.9437682628631592)"
6,"[[510.0, 331.0], [651.0, 325.0], [653.0, 357.0], [511.0, 362.0]]","('045555', 0.9959450364112854)"
7,"[[537.0, 370.0], [588.0, 370.0], [588.0, 402.0], [537.0, 402.0]]","('CT', 0.9880505800247192)"
8,"[[397.0, 457.0], [442.0, 457.0], [442.0, 491.0], [397.0, 491.0]]","('T1', 0.993397057056427)"
9,"[[539.0, 452.0], [655.0, 447.0], [657.0, 480.0], [540.0, 485.0]]","('$7.95', 0.9911705255508423)"
10,"[[111.0, 470.0], [252.0, 464.0], [253.0, 496.0], [112.0, 502.0]]","('1 F00D', 0.8825616836547852)"
11,"[[399.0, 498.0], [443.0, 498.0], [443.0, 532.0], [399.0, 532.0]]","('T1', 0.9917992353439331)"
12,"[[541.0, 494.0], [656.0, 489.0], [658.0, 521.0], [542.0, 526.0]]","('$3.95', 0.9907434582710266)"
13,"[[111.0, 511.0], [254.0, 505.0], [255.0, 536.0], [112.0, 542.0]]","('1F00D', 0.969538688659668)"
14,"[[399.0, 539.0], [445.0, 539.0], [445.0, 572.0], [399.0, 572.0]]","('T1', 0.9911445379257202)"
15,"[[541.0, 534.0], [658.0, 529.0], [660.0, 562.0], [542.0, 566.0]]","('$9.50', 0.9681171178817749)"
16,"[[115.0, 551.0], [255.0, 546.0], [256.0, 578.0], [116.0, 583.0]]","('1F00D', 0.9725922346115112)"
17,"[[396.0, 577.0], [495.0, 575.0], [496.0, 614.0], [397.0, 617.0]]","('3 No', 0.9465218782424927)"
18,"[[521.0, 616.0], [662.0, 609.0], [664.0, 644.0], [522.0, 651.0]]","('$21.40', 0.9275484085083008)"
19,"[[165.0, 629.0], [235.0, 629.0], [235.0, 664.0], [165.0, 664.0]]","('TA1', 0.9969971776008606)"
20,"[[545.0, 657.0], [664.0, 653.0], [666.0, 688.0], [546.0, 692.0]]","('$1.92', 0.9926120042800903)"
21,"[[165.0, 672.0], [234.0, 669.0], [235.0, 704.0], [166.0, 707.0]]","('TX1', 0.9829854369163513)"
22,"[[167.0, 714.0], [216.0, 714.0], [216.0, 751.0], [167.0, 751.0]]","('TL', 0.9964312314987183)"
23,"[[383.0, 706.0], [660.0, 695.0], [662.0, 730.0], [385.0, 740.0]]","('$23.32', 0.9463891983032227)"
24,"[[527.0, 742.0], [667.0, 737.0], [669.0, 771.0], [528.0, 777.0]]","('$23.32', 0.9761694073677063)"
25,"[[165.0, 757.0], [265.0, 755.0], [266.0, 790.0], [166.0, 793.0]]","('CASH', 0.9979817867279053)"
26,"[[99.0, 848.0], [313.0, 837.0], [315.0, 868.0], [101.0, 879.0]]","('THANK YOU', 0.9712548851966858)"
27,"[[98.0, 889.0], [504.0, 867.0], [506.0, 897.0], [100.0, 919.0]]","('FOR YOUR BUSINESS', 0.9636691808700562)"
